exp_name,dataset_name,file_size_bytes,run_id,pipeline,unique_symbols,build_huffman_ms,build_obst_ms,encode_ms,decode_ms,total_ms,compressed_bytes,pad_bits,compression_ratio,lookup_comparisons_total,lookup_comparisons_per_symbol,correctness_ok
exp2_size_scaling,uniform256,131072,2,huffman+obst,256,2.256,2214.0915,642.0115,542.942,3401.301,131072,0,1.0,921658,7.0316925048828125,1
exp2_size_scaling,uniform256,131072,3,huffman,256,2.7077,0.0,360.7464,544.2023,907.6564000000001,131072,0,1.0,0,0.0,1
exp2_size_scaling,uniform256,131072,3,huffman+obst,256,2.5927,2216.4398,612.7971,473.5435,3305.3731,131072,0,1.0,921296,7.0289306640625,1
exp2_size_scaling,uniform256,131072,4,huffman,256,1.9336,0.0,307.7594,528.5194,838.2124000000001,131072,0,1.0,0,0.0,1
exp2_size_scaling,uniform256,131072,4,huffman+obst,256,2.3793,2240.6747,651.7202,545.1666,3439.9408,131072,0,1.0,922177,7.035652160644531,1
exp2_size_scaling,uniform256,131072,5,huffman,256,2.277,0.0,364.1677,545.3657,911.8104,131072,0,1.0,0,0.0,1
exp2_size_scaling,uniform256,131072,5,huffman+obst,256,2.2876,2228.9168,640.4521,546.7592,3418.4157,131072,0,1.0,921681,7.031867980957031,1
exp2_size_scaling,uniform256,131072,6,huffman,256,2.2815,0.0,362.0801,543.1297,907.4912999999999,131072,0,1.0,0,0.0,1
exp2_size_scaling,uniform256,131072,6,huffman+obst,256,2.2921,2234.0289,650.5374,548.9476,3435.806,131072,0,1.0,921784,7.03265380859375,1
exp2_size_scaling,uniform256,131072,7,huffman,256,2.3499,0.0,365.4119,548.6149,916.3767,131072,0,1.0,0,0.0,1
exp2_size_scaling,uniform256,131072,7,huffman+obst,256,2.338,2235.6287,638.5254,546.1966,3422.6887000000006,131072,0,1.0,920956,7.026336669921875,1
exp2_size_scaling,uniform256,262144,1,huffman,256,2.3221,0.0,736.0874,1098.2756,1836.6851,262144,0,1.0,0,0.0,1
exp2_size_scaling,uniform256,262144,1,huffman+obst,256,2.415,2227.2605,1290.4592,1099.2938,4619.4285,262144,0,1.0,1843994,7.034278869628906,1
exp2_size_scaling,uniform256,262144,2,huffman,256,2.3032,0.0,725.2974,1099.3982,1826.9988,262144,0,1.0,0,0.0,1
exp2_size_scaling,uniform256,262144,2,huffman+obst,256,2.2934,2116.0856,1167.0226,1095.1051,4380.5067,262144,0,1.0,1844291,7.035411834716797,1
exp2_size_scaling,uniform256,262144,3,huffman,256,2.3165,0.0,725.1064,1108.898,1836.3209,262144,0,1.0,0,0.0,1
exp2_size_scaling,uniform256,262144,3,huffman+obst,256,2.2931,2243.2379,1283.6467,1097.4081,4626.585800000001,262144,0,1.0,1843922,7.034004211425781,1
exp2_size_scaling,uniform256,262144,4,huffman,256,2.3303,0.0,722.5298,1090.6077,1815.4678,262144,0,1.0,0,0.0,1
exp2_size_scaling,uniform256,262144,4,huffman+obst,256,2.3055,2219.9688,1282.8243,1091.1189,4596.217500000001,262144,0,1.0,1843867,7.033794403076172,1
exp2_size_scaling,uniform256,262144,5,huffman,256,2.3704,0.0,719.1932,1097.1911,1818.7547,262144,0,1.0,0,0.0,1
exp2_size_scaling,uniform256,262144,5,huffman+obst,256,2.301,2255.8592,1283.04,1108.0894,4649.2896,262144,0,1.0,1844240,7.03521728515625,1
exp2_size_scaling,uniform256,262144,6,huffman,256,2.349,0.0,725.4878,1090.2397,1818.0765000000001,262144,0,1.0,0,0.0,1
exp2_size_scaling,uniform256,262144,6,huffman+obst,256,2.2907,2220.8136,1279.4086,934.1864,4436.6993,262144,0,1.0,1843893,7.033893585205078,1
exp2_size_scaling,uniform256,262144,7,huffman,256,6.4951,0.0,1296.6687,1875.0148,3178.1786,262144,0,1.0,0,0.0,1
exp2_size_scaling,uniform256,262144,7,huffman+obst,256,2.8881,2932.9328,1522.9842,1115.4076,5574.2127,262144,0,1.0,1843410,7.032051086425781,1
exp2_size_scaling,uniform256,524288,1,huffman,256,2.3201,0.0,1506.285,2458.4258,3967.0308999999997,524288,0,1.0,0,0.0,1
exp2_size_scaling,uniform256,524288,1,huffman+obst,256,2.3628,2620.7907,2777.097,2349.8141,7750.0646,524288,0,1.0,3689798,7.037731170654297,1
exp2_size_scaling,uniform256,524288,2,huffman,256,2.296,0.0,1586.43,2295.9507,3884.6767,524288,0,1.0,0,0.0,1
exp2_size_scaling,uniform256,524288,2,huffman+obst,256,2.3595,2328.5854,2572.0149,2516.9157,7419.8755,524288,0,1.0,3689019,7.036245346069336,1
exp2_size_scaling,uniform256,524288,3,huffman,256,2.3629,0.0,1463.6796,2225.5056,3691.5481,524288,0,1.0,0,0.0,1
exp2_size_scaling,uniform256,524288,3,huffman+obst,256,2.307,2298.4753,2647.378,2225.5989,7173.7591999999995,524288,0,1.0,3689130,7.036457061767578,1
exp2_size_scaling,uniform256,524288,4,huffman,256,2.362,0.0,1506.9208,2230.4917,3739.7745000000004,524288,0,1.0,0,0.0,1
exp2_size_scaling,uniform256,524288,4,huffman+obst,256,2.3605,2367.1157,2624.5288,2249.8498,7243.854799999999,524288,0,1.0,3688881,7.035982131958008,1
exp2_size_scaling,uniform256,524288,5,huffman,256,2.4626,0.0,1462.5901,2223.1131,3688.1657999999998,524288,0,1.0,0,0.0,1
exp2_size_scaling,uniform256,524288,5,huffman+obst,256,2.4037,2303.9101,2683.6102,2239.2995,7229.2235,524288,0,1.0,3688740,7.035713195800781,1
exp2_size_scaling,uniform256,524288,6,huffman,256,2.3403,0.0,1517.4956,2283.1516,3802.9875,524288,0,1.0,0,0.0,1
exp2_size_scaling,uniform256,524288,6,huffman+obst,256,2.3718,2304.3985,2661.9768,2232.7972,7201.5443,524288,0,1.0,3686855,7.03211784362793,1
exp2_size_scaling,uniform256,524288,7,huffman,256,2.3298,0.0,1493.3085,2245.8282,3741.4665,524288,0,1.0,0,0.0,1
exp2_size_scaling,uniform256,524288,7,huffman+obst,256,2.3702,2238.9315,2603.9948,2244.4557,7089.752200000001,524288,0,1.0,3688873,7.035966873168945,1
exp2_size_scaling,uniform256,1048576,1,huffman,256,2.3243,0.0,2979.001,4463.6521,7444.977400000001,1048576,0,1.0,0,0.0,1
exp2_size_scaling,uniform256,1048576,1,huffman+obst,256,2.3201,2285.689,5382.5978,4513.4283,12184.035199999998,1048576,0,1.0,7378808,7.036979675292969,1
exp2_size_scaling,uniform256,1048576,2,huffman,256,2.347,0.0,2929.1702,4390.5187,7322.0359,1048576,0,1.0,0,0.0,1
exp2_size_scaling,uniform256,1048576,2,huffman+obst,256,2.3764,2237.2554,5143.7868,4534.8604,11918.278999999999,1048576,0,1.0,7378518,7.036703109741211,1
exp2_size_scaling,uniform256,1048576,3,huffman,256,2.3475,0.0,2984.0254,4537.7886,7524.1615,1048576,0,1.0,0,0.0,1
exp2_size_scaling,uniform256,1048576,3,huffman+obst,256,3.2175,2247.1532,5258.6942,4474.8682,11983.9331,1048576,0,1.0,7379232,7.037384033203125,1
